ID_материала,URL,Заголовок,Раздел_корпуса,Номер_объекта,Тип_текста,Концепт,Фрейм,Метафора,Субъектная_роль,Ценностная_оппозиция,Модель_действия
M219,https://lenta.ru/articles/2025/12/16/innovatsii-voznikayut-v-svyazke,Инновации возникают в связке. Как стартапы создают  - Lenta.ru,Быстрый (новостной),8,Краткая новость,Достоинство,Культурная трансформация,Архитектура,Защитник,Равенство–Иерархия,
M219,https://lenta.ru/articles/2025/12/16/innovatsii-voznikayut-v-svyazke,Инновации возникают в связке. Как стартапы создают  - Lenta.ru,Быстрый (новостной),9,Новостной релиз,Честь,Социальная поляризация,Оборона,Защитник,Свой–Чужой,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),1,Заметка,Стабильность,Экономическая модернизация,Поломка,Наблюдатель,Традиция–Новаторство,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),2,Краткая новость,Порядок,Борьба за власть,Реконструкция,Враг,Свой–Чужой,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),3,Новостной релиз,Прогресс,Управление ресурсами,Механизм,Творец,Стабильность–Перемены,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),4,Заметка,Благополучие,Социальная дифференциация,Механизм,Жертва,Индивидуальное–Коллективное,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),5,Заметка,Равенство,Рыночная конъюнктура,Увядание,Устроитель,Честь–Выгода,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),6,Новость,Ответственность,Финансовые связи,Поток,Новатор,Общее–Частное,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),7,Информационное сообщение,Власть,Суверенитет,Режиссура,Манипулятор,Порядок–Хаос,
M220,https://lenta.ru/articles/2025/07/01/rossii-neobhodim-promyshlennyy-konveyer-issledovaniy-v-oblasti-ii,«России необходим промышленный конвейер исследований в,Быстрый (новостной),8,Новостной релиз,Долг,Экономическая динамика,Цветение,Трудолюбивый,Справедливость–Законность,
M221,https://lenta.ru/articles/2025/01/07/viewtofuture,"Какой видят страну россияне: единая, с сильным правителем",Быстрый (новостной),1,Новость,Достоинство,Межпоколенческие отношения,Крепость,Бунтарь,Справедливость–Законность,
M221,https://lenta.ru/articles/2025/01/07/viewtofuture,"Какой видят страну россияне: единая, с сильным правителем",Быстрый (новостной),2,Новость,Ответственность,Социальная мобильность,Реконструкция,Жертва,Свобода–Безопасность,
M221,https://lenta.ru/articles/2025/01/07/viewtofuture,"Какой видят страну россияне: единая, с сильным правителем",Быстрый (новостной),3,Заметка,Смысл,Обретение идентичности,Семя,Наблюдатель,Дух–Материя,
M221,https://lenta.ru/articles/2025/01/07/viewtofuture,"Какой видят страну россияне: единая, с сильным правителем",Быстрый (новостной),4,Информационное сообщение,Память,Демографическая динамика,Рост,Страдалец,Равенство–Иерархия,
M221,https://lenta.ru/articles/2025/01/07/viewtofuture,"Какой видят страну россияне: единая, с сильным правителем",Быстрый (новостной),5,Краткая новость,Семья,Миграционная волна,Фундамент,Защитник,Общее–Частное,
M221,https://lenta.ru/articles/2025/01/07/viewtofuture,"Какой видят страну россияне: единая, с сильным правителем",Быстрый (новостной),6,Информационное сообщение,Справедливость,Социальная солидарность,Прививка,Свидетель,Свой–Чужой,
M221,https://lenta.ru/articles/2025/01/07/viewtofuture,"Какой видят страну россияне: единая, с сильным правителем",Быстрый (новостной),7,Новостной релиз,Солидарность,Социальная поляризация,Архитектура,Герой,Добро–Зло,
M222,https://lenta.ru/articles/2025/11/07/arktika-pod-zaschitoy,Арктика под защитой: в регионах России создают широкую сеть,Быстрый (новостной),1,Заметка,Память,Культурная трансформация,Заслон,Свидетель,Свобода–Безопасность,
M222,https://lenta.ru/articles/2025/11/07/arktika-pod-zaschitoy,Арктика под защитой: в регионах России создают широкую сеть,Быстрый (новостной),2,Информационное сообщение,Ответственность,Рыночная конъюнктура,Устье,Наблюдатель,Индивидуальное–Коллективное,
M222,https://lenta.ru/articles/2025/11/07/arktika-pod-zaschitoy,Арктика под защитой: в регионах России создают широкую сеть,Быстрый (новостной),3,Новостной релиз,Долг,Социальная поляризация,Реконструкция,Бунтарь,Равенство–Иерархия,
M222,https://lenta.ru/articles/2025/11/07/arktika-pod-zaschitoy,Арктика под защитой: в регионах России создают широкую сеть,Быстрый (новостной),4,Краткая новость,Честь,Социальная солидарность,Фронт,Жертва,Общее–Частное,
M222,https://lenta.ru/articles/2025/11/07/arktika-pod-zaschitoy,Арктика под защитой: в регионах России создают широкую сеть,Быстрый (новостной),5,Новостной релиз,Солидарность,Межпоколенческие отношения,Оборона,Страдалец,Добро–Зло,
M222,https://lenta.ru/articles/2025/11/07/arktika-pod-zaschitoy,Арктика под защитой: в регионах России создают широкую сеть,Быстрый (новостной),6,Новость,Правда,Демографическая динамика,Архитектура,Герой,Справедливость–Законность,
M222,https://lenta.ru/articles/2025/11/07/arktika-pod-zaschitoy,Арктика под защитой: в регионах России создают широкую сеть,Быстрый (новостной),7,Новость,Семья,Социальная мобильность,Семя,Защитник,Свой–Чужой,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),1,Заметка,Труд,Инновационный прорыв,Плоды,Новатор,Индивидуальное–Коллективное,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),2,Заметка,Равенство,Экономический рост,Семя,Наблюдатель,Справедливость–Законность,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),3,Новостной релиз,Порядок,Государственный контроль,Оборона,Страж,Сила–Слабость,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),4,Информационное сообщение,Власть,Конфликт интересов,Трагедия,Оппонент,Равенство–Иерархия,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),5,Информационное сообщение,Закон,Переговорный процесс,Режиссура,Защитник,Порядок–Хаос,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),6,Новость,Благополучие,Экономическая модернизация,Рост,Жертва,Традиция–Новаторство,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),7,Новостной релиз,Справедливость,Внешняя угроза,Фундамент,Лидер,Единство–Разделение,
M223,https://lenta.ru/articles/2021/10/04/future,На пороге перемен. Как технологии будущего изменят мир и,Быстрый (новостной),8,Заметка,Свобода,Политическая трансформация,Война,Враг,Свобода–Безопасность,
M224,https://lenta.ru/rubrics/science,"Новости науки, техники и технологий - Lenta.RU",Быстрый (новостной),1,Краткая новость,Безопасность,Культурная трансформация,Засуха,Страдалец,Справедливость–Законность,
M224,https://lenta.ru/rubrics/science,"Новости науки, техники и технологий - Lenta.RU",Быстрый (новостной),2,Новостной релиз,Семья,Социальная солидарность,Перестройка,Бунтарь,Равенство–Иерархия,
M224,https://lenta.ru/rubrics/science,"Новости науки, техники и технологий - Lenta.RU",Быстрый (новостной),3,Краткая новость,Честь,Миграционная волна,Осада,Свидетель,Добро–Зло,
M224,https://lenta.ru/rubrics/science,"Новости науки, техники и технологий - Lenta.RU",Быстрый (новостной),4,Информационное сообщение,Память,Демографическая динамика,Засуха,Жертва,Свобода–Безопасность,
M224,https://lenta.ru/rubrics/science,"Новости науки, техники и технологий - Lenta.RU",Быстрый (новостной),5,Заметка,Справедливость,Социальная мобильность,Осада,Герой,Общее–Частное,
M224,https://lenta.ru/rubrics/science,"Новости науки, техники и технологий - Lenta.RU",Быстрый (новостной),6,Информационное сообщение,Достоинство,Социальная поляризация,Мобилизация,Защитник,Свой–Чужой,
M224,https://lenta.ru/rubrics/science,"Новости науки, техники и технологий - Lenta.RU",Быстрый (новостной),7,Заметка,Долг,Межпоколенческие отношения,Засуха,Страдалец,Добро–Зло,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),1,Информационное сообщение,Благополучие,Экономическая модернизация,Поломка,Устроитель,Общее–Частное,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),2,Краткая новость,Справедливость,Экономический рост,Засуха,Жертва,Честь–Выгода,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),3,Заметка,Ответственность,Экономическая динамика,Устье,Наблюдатель,Традиция–Новаторство,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),4,Заметка,Труд,Социальная дифференциация,Двигатель,Творец,Стабильность–Перемены,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),5,Новостной релиз,Равенство,Управление ресурсами,Плоды,Новатор,Индивидуальное–Коллективное,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),6,Новостной релиз,Прогресс,Финансовые связи,Засуха,Трудолюбивый,Справедливость–Законность,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),7,Заметка,Сила,Политическая трансформация,Обвал,Враг,Порядок–Хаос,
M225,https://lenta.ru/rubrics/science/science,Новости: Наука и техника - Lenta.RU,Быстрый (новостной),8,Заметка,Стабильность,Рыночная конъюнктура,Поток,Творец,Индивидуальное–Коллективное,
M226,https://lenta.ru/rubrics/science/digital,Новости: Наука и техника - Lenta.ru,Быстрый (новостной),1,Информационное сообщение,Справедливость,Политическая трансформация,Наступление,Страж,Сила–Слабость,
M226,https://lenta.ru/rubrics/science/digital,Новости: Наука и техника - Lenta.ru,Быстрый (новостной),2,Новостной релиз,Долг,Политическая трансформация,Война,Оппонент,Единство–Разделение,
M226,https://lenta.ru/rubrics/science/digital,Новости: Наука и техника - Lenta.ru,Быстрый (новостной),3,Новость,Равенство,Государственный контроль,Спектакль,Манипулятор,Порядок–Хаос,
M226,https://lenta.ru/rubrics/science/digital,Новости: Наука и техника - Lenta.ru,Быстрый (новостной),4,Новость,Свобода,Борьба за власть,Наступление,Защитник,Равенство–Иерархия,
M226,https://lenta.ru/rubrics/science/digital,Новости: Наука и техника - Lenta.ru,Быстрый (новостной),5,Краткая новость,Закон,Внешняя угроза,Мобилизация,Враг,Свобода–Безопасность,
M226,https://lenta.ru/rubrics/science/digital,Новости: Наука и техника - Lenta.ru,Быстрый (новостной),6,Информационное сообщение,Сила,Конфликт интересов,Фундамент,Лидер,Свой–Чужой,
M226,https://lenta.ru/rubrics/science/digital,Новости: Наука и техника - Lenta.ru,Быстрый (новостной),7,Новостной релиз,Ответственность,Институциональная трансформация,Фундамент,Оппонент,Порядок–Хаос,
M227,https://lenta.ru/rubrics/science/future,Будущее: Новости: Наука и техника - Lenta.RU,Быстрый (новостной),1,Краткая новость,Ответственность,Рыночная конъюнктура,Поток,Новатор,Общее–Частное,
M227,https://lenta.ru/rubrics/science/future,Будущее: Новости: Наука и техника - Lenta.RU,Быстрый (новостной),2,Новостной релиз,Смысл,Потеря смыслов,Корни,Наблюдатель,Прошлое–Будущее,
M227,https://lenta.ru/rubrics/science/future,Будущее: Новости: Наука и техника - Lenta.RU,Быстрый (новостной),3,Новостной релиз,Душа,Экзистенциальный кризис,Верх,Страдалец,Истина–Ложь,
M227,https://lenta.ru/rubrics/science/future,Будущее: Новости: Наука и техника - Lenta.RU,Быстрый (новостной),4,Заметка,Благополучие,Экономический рост,Поломка,Трудолюбивый,Индивидуальное–Коллективное,
M227,https://lenta.ru/rubrics/science/future,Будущее: Новости: Наука и техника - Lenta.RU,Быстрый (новостной),5,Информационное сообщение,Развитие,Социальная дифференциация,Засуха,Творец,Справедливость–Законность,
M227,https://lenta.ru/rubrics/science/future,Будущее: Новости: Наука и техника - Lenta.RU,Быстрый (новостной),6,Новость,Стабильность,Экономическая модернизация,Исток,Устроитель,Традиция–Новаторство,
M227,https://lenta.ru/rubrics/science/future,Будущее: Новости: Наука и техника - Lenta.RU,Быстрый (новостной),7,Заметка,Равенство,Финансовые связи,Семя,Жертва,Честь–Выгода,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),1,Новостной релиз,Солидарность,Социальная солидарность,Корни,Герой,Справедливость–Законность,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),2,Информационное сообщение,Правда,Культурная трансформация,Фронт,Жертва,Свой–Чужой,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),3,Заметка,Любовь,Потеря смыслов,Плоды,Мудрец,Вера–Знание,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),4,Новостной релиз,Честь,Социальная поляризация,Корни,Свидетель,Добро–Зло,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),5,Краткая новость,Память,Миграционная волна,Цветение,Страдалец,Равенство–Иерархия,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),6,Новостной релиз,Долг,Демографическая динамика,Разрушение,Бунтарь,Общее–Частное,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),7,Краткая новость,Безопасность,Социальная мобильность,Корни,Защитник,Свобода–Безопасность,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),8,Краткая новость,Ответственность,Межпоколенческие отношения,Капитуляция,Жертва,Свобода–Безопасность,
M228,https://lenta.ru/rubrics/science/2025/01/06,Новости за 06.01.2025г. - Lenta.RU,Быстрый (новостной),9,Новостной релиз,Достоинство,Межпоколенческие отношения,Фронт,Жертва,Справедливость–Законность,
M229,https://lenta.ru/rubrics/science/inrussia,В России: Новости: Наука и техника - Lenta.ru,Быстрый (новостной),1,Новостной релиз,Свобода,Государственный контроль,Антракт,Манипулятор,Единство–Разделение,
M229,https://lenta.ru/rubrics/science/inrussia,В России: Новости: Наука и техника - Lenta.ru,Быстрый (новостной),2,Информационное сообщение,Надежда,Обретение идентичности,Запруда,Герой,Прошлое–Будущее,
M229,https://lenta.ru/rubrics/science/inrussia,В России: Новости: Наука и техника - Lenta.ru,Быстрый (новостной),3,Заметка,Равенство,Переговорный процесс,Крепость,Оппонент,Порядок–Хаос,
M229,https://lenta.ru/rubrics/science/inrussia,В России: Новости: Наука и техника - Lenta.ru,Быстрый (новостной),4,Краткая новость,Долг,Политическая трансформация,Наступление,Враг,Свой–Чужой,
M229,https://lenta.ru/rubrics/science/inrussia,В России: Новости: Наука и техника - Lenta.ru,Быстрый (новостной),5,Заметка,Путь,Духовное прозрение,Низ,Творец,Жизнь–Смерть,
M229,https://lenta.ru/rubrics/science/inrussia,В России: Новости: Наука и техника - Lenta.ru,Быстрый (новостной),6,Краткая новость,Справедливость,Институциональная трансформация,Разрушение,Страж,Сила–Слабость,
M229,https://lenta.ru/rubrics/science/inrussia,В России: Новости: Наука и техника - Lenta.ru,Быстрый (новостной),7,Новость,Сила,Политическая трансформация,Премьера,Защитник,Свобода–Безопасность,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),1,Информационное сообщение,Равенство,Политическая трансформация,Фундамент,Страж,Единство–Разделение,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),2,Заметка,Свобода,Суверенитет,Война,Лидер,Свобода–Безопасность,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),3,Новостной релиз,Закон,Переговорный процесс,Премьера,Оппонент,Порядок–Хаос,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),4,Новость,Сила,Конфликт интересов,Премьера,Враг,Свой–Чужой,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),5,Информационное сообщение,Благосостояние,Инновационный прорыв,Прививка,Новатор,Стабильность–Перемены,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),6,Заметка,Власть,Внешняя угроза,Крепость,Манипулятор,Сила–Слабость,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),7,Новость,Справедливость,Государственный контроль,Строительство,Защитник,Равенство–Иерархия,
M230,https://lenta.ru/articles/2025/05/23/razvitie-nauki-ukreplyaet-liderstvo-rossii-v-arktike,Развитие науки укрепляет лидерство России в Арктике. Где в,Быстрый (новостной),8,Новостной релиз,Суверенитет,Институциональная трансформация,Перестройка,Манипулятор,Порядок–Хаос,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),1,Заметка,Образование,Культурная память,Реконструкция,Мудрец,Прошлое–Будущее,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),2,Новость,Красота,Идентичностный кризис,Низ,Новатор,Традиция–Новаторство,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),3,Новостной релиз,Память,Эстетическая трансгрессия,Периферия,Наблюдатель,Дух–Материя,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),4,Заметка,Идентичность,Нравственный поиск,Перестройка,Проводник,Истина–Ложь,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),5,Краткая новость,Душа,Культурный канон,Разрушение,Хранитель,Природа–Культура,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),6,Краткая новость,Культура,Традиция и новаторство,Низ,Творец,Открытость–Закрытость,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),7,Новостной релиз,Вера,Культурная гибридизация,Разрушение,Наблюдатель,Истина–Ложь,
M231,https://ria.ru/20251223/gazeta-1589877055.html,"Независимая газета - РИА Новости, 23.12.2025",Быстрый (новостной),8,Заметка,Родина,Эстетическая трансгрессия,Разрушение,Наблюдатель,Дух–Материя,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),1,Краткая новость,Справедливость,Экономическая динамика,Рост,Устроитель,Общее–Частное,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),2,Заметка,Ответственность,Управление ресурсами,Устье,Наблюдатель,Стабильность–Перемены,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),3,Заметка,Долг,Финансовые связи,Механизм,Новатор,Честь–Выгода,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),4,Информационное сообщение,Стабильность,Инновационный прорыв,Ржавчина,Трудолюбивый,Индивидуальное–Коллективное,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),5,Заметка,Благосостояние,Рыночная конъюнктура,Волна,Жертва,Традиция–Новаторство,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),6,Новость,Прогресс,Экономическая модернизация,Системное изменение,Творец,Справедливость–Законность,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),7,Новость,Равенство,Социальная дифференциация,Корни,Устроитель,Справедливость–Законность,
M232,https://ria.ru/20260529/putin-2095602900.html,"Российская экономика последние годы росла быстрее, чем в ЕС",Быстрый (новостной),8,Информационное сообщение,Труд,Экономический рост,Исток,Новатор,Стабильность–Перемены,
M233,https://ria.ru/economy,Экономика - РИА Новости,Быстрый (новостной),1,Новость,Память,Культурная трансформация,Архитектура,Свидетель,Равенство–Иерархия,
M233,https://ria.ru/economy,Экономика - РИА Новости,Быстрый (новостной),2,Краткая новость,Стабильность,Инновационный прорыв,Волна,Новатор,Честь–Выгода,
M233,https://ria.ru/economy,Экономика - РИА Новости,Быстрый (новостной),3,Краткая новость,Семья,Социальная солидарность,Засуха,Жертва,Справедливость–Законность,
M233,https://ria.ru/economy,Экономика - РИА Новости,Быстрый (новостной),4,Заметка,Честь,Межпоколенческие отношения,Архитектура,Бунтарь,Свобода–Безопасность,
M233,https://ria.ru/economy,Экономика - РИА Новости,Быстрый (новостной),5,Новость,Справедливость,Управление ресурсами,Наводнение,Наблюдатель,Индивидуальное–Коллективное,
M233,https://ria.ru/economy,Экономика - РИА Новости,Быстрый (новостной),6,Краткая новость,Ответственность,Социальная поляризация,Строительство,Страдалец,Добро–Зло,
M233,https://ria.ru/economy,Экономика - РИА Новости,Быстрый (новостной),7,Краткая новость,Долг,Экономическая динамика,Исток,Творец,Традиция–Новаторство,
M234,https://ria.ru/20260415/putin-2087189355.html,Путин поручил правительству стимулировать рост экономики,Быстрый (новостной),1,Краткая новость,Равенство,Политическая трансформация,Разрушение,Страж,Сила–Слабость,
M234,https://ria.ru/20260415/putin-2087189355.html,Путин поручил правительству стимулировать рост экономики,Быстрый (новостной),2,Новость,Власть,Борьба за власть,Крепость,Лидер,Свой–Чужой,
M234,https://ria.ru/20260415/putin-2087189355.html,Путин поручил правительству стимулировать рост экономики,Быстрый (новостной),3,Информационное сообщение,Смысл,Человеческое достоинство,Семя,Страдалец,Истина–Ложь,
M234,https://ria.ru/20260415/putin-2087189355.html,Путин поручил правительству стимулировать рост экономики,Быстрый (новостной),4,Краткая новость,Судьба,Столкновение с вечностью,Низ,Герой,Прошлое–Будущее,
M234,https://ria.ru/20260415/putin-2087189355.html,Путин поручил правительству стимулировать рост экономики,Быстрый (новостной),5,Информационное сообщение,Справедливость,Переговорный процесс,Архитектура,Защитник,Единство–Разделение,
M234,https://ria.ru/20260415/putin-2087189355.html,Путин поручил правительству стимулировать рост экономики,Быстрый (новостной),6,Новость,Порядок,Политическая трансформация,Маска,Враг,Равенство–Иерархия,
M234,https://ria.ru/20260415/putin-2087189355.html,Путин поручил правительству стимулировать рост экономики,Быстрый (новостной),7,Заметка,Закон,Конфликт интересов,Обвал,Манипулятор,Свобода–Безопасность,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),1,Информационное сообщение,Равенство,Рыночная конъюнктура,Волна,Творец,Традиция–Новаторство,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),2,Краткая новость,Развитие,Инновационный прорыв,Двигатель,Новатор,Индивидуальное–Коллективное,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),3,Новостной релиз,Прогресс,Управление ресурсами,Засуха,Устроитель,Стабильность–Перемены,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),4,Заметка,Ответственность,Финансовые связи,Шестерёнка,Жертва,Справедливость–Законность,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),5,Заметка,Стабильность,Экономическая модернизация,Плоды,Наблюдатель,Честь–Выгода,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),6,Информационное сообщение,Долг,Социальная дифференциация,Наводнение,Трудолюбивый,Общее–Частное,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),7,Новостной релиз,Благополучие,Экономический рост,Рост,Новатор,Честь–Выгода,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),8,Информационное сообщение,Благосостояние,Экономическая динамика,Поток,Жертва,Традиция–Новаторство,
M235,https://ria.ru/20260416/ekonomika-2087282084.html,Россия осталась четвертой экономикой мира по итогам 2025 года,Быстрый (новостной),9,Новостной релиз,Справедливость,Управление ресурсами,Течение,Устроитель,Справедливость–Законность,
M236,https://ria.ru/20260421/krizis-2087968022.html,"Трамп своему слову хозяин: цивилизация погибнет, но есть нюанс",Быстрый (новостной),1,Информационное сообщение,Труд,Экономическая динамика,Цветение,Трудолюбивый,Индивидуальное–Коллективное,
M236,https://ria.ru/20260421/krizis-2087968022.html,"Трамп своему слову хозяин: цивилизация погибнет, но есть нюанс",Быстрый (новостной),2,Заметка,Справедливость,Социальная дифференциация,Корни,Наблюдатель,Стабильность–Перемены,
M236,https://ria.ru/20260421/krizis-2087968022.html,"Трамп своему слову хозяин: цивилизация погибнет, но есть нюанс",Быстрый (новостной),3,Краткая новость,Развитие,Экономический рост,Поломка,Новатор,Традиция–Новаторство,
M236,https://ria.ru/20260421/krizis-2087968022.html,"Трамп своему слову хозяин: цивилизация погибнет, но есть нюанс",Быстрый (новостной),4,Новость,Стабильность,Управление ресурсами,Запруда,Творец,Справедливость–Законность,
M236,https://ria.ru/20260421/krizis-2087968022.html,"Трамп своему слову хозяин: цивилизация погибнет, но есть нюанс",Быстрый (новостной),5,Заметка,Благополучие,Экономическая модернизация,Поток,Устроитель,Общее–Частное,
M236,https://ria.ru/20260421/krizis-2087968022.html,"Трамп своему слову хозяин: цивилизация погибнет, но есть нюанс",Быстрый (новостной),6,Информационное сообщение,Прогресс,Рыночная конъюнктура,Увядание,Жертва,Честь–Выгода,
M236,https://ria.ru/20260421/krizis-2087968022.html,"Трамп своему слову хозяин: цивилизация погибнет, но есть нюанс",Быстрый (новостной),7,Краткая новость,Благосостояние,Финансовые связи,Семя,Жертва,Стабильность–Перемены,
